대륙,국가,GDP(10억달러),GDP대비국방비,국방비(10억달러),GDP 순위,국방비 순위,인구(만명),1인당GDP,등급,세율,국가예산(%),국가예산,경제체제,주업,환경오염율,복지수준,복지지출비(10억달러),환경개선비(10억달러),경제투자율,경제투자비,국방비대비장비구입비,총장비구입비,장비구입비,남은 장비구입비(10억달러),지출(10억달러),순이익,최종순이익,국고,GDP대비국고(%),경제성장률 계산,최종경제성장률,수출(10억달러),수입(10억달러),비고,경기수준,,땅 넓이(Km²)(현실기준),오염된 넓이(Km²),다음연도 오염율,연합,다음연도 GDP,다음연도 예정순위,국고 보유순위,GDP대비국고순위,영어 국가명,강대국 등급
유럽,서독,  438.553,4,17.5421,3위,3위,6122.8,7162.6,선진국,27.5,21.25,93.1925,시장경제,중공업 첨단산업 서비스업,8.48000,중간복지,18.3685,,10,43.85530287,25,4.3855,,4.3855,79.7659,13.4266,13.4266,25.6803,5.86,6.98,8.98,,,,50,침체,"357,022","30,275.47",8.68000,NATO,  477.938,3위,7위,22위,Germany,강대국
유럽,동독, 54.4532,4,2.1781,12위,7위,1749.2,3113.1,선진국,15,15,8.1680,시장경제,중공업 첨단산업 서비스업,8.48000,낮은복지,1.2244,,10,5.445322408,25,0.5445,,0.5445,8.8479,-0.6799,-0.6799,-3.0515,-5.60,13.24,14.44,,,호황고정(830억달러) ,1,호황,"357,022","30,275.47",8.68000,WTO, 62.3156,12위,33위,29위,Germany,지역강국
유럽,덴마크, 12.4250,4,0.4970,24위,21위,499.2,2489.2,중진국,30,22.5,2.7956,혼합경제,중공업 첨단산업,7.68000,낮은복지,0.3494,,,0,25,0.1242,,0.1242,0.8464,1.5492,1.5492,21.0622,169.52,16.73,16.73,,,호황고정(272억달러) 1970년 월드컵개최,1,호황,"43,094","3,309.62",7.80000,NATO, 14.5035,24위,9위,5위,Denmark,약소국
유럽,이탈리아, 87.2741,2,1.7455,8위,9위,5406.8,1614.2,중진국,20,17.5,15.2730,시장경제,중공업 첨단산업 서비스업,13.70000,낮은복지,3.7847,,,0,25,0.4364,,0.4364,5.5302,8.8528,8.8528,12.1316,13.90,11.15,11.35,,,호황고정(1697억달러) ,1,호황,"301,340","41,283.58",13.90000,NATO, 97.1815,8위,14위,18위,Italy,지역강국
유럽,체코슬로바키아, 20.1380,3,0.6041,20위,18위,1446.0,1392.7,중진국,30,22.5,4.5310,혼합경제,중공업 첨단산업,7.68000,낮은복지,1.0122,,,0,25,0.1510,,0.1510,1.6163,2.9147,2.9147,20.3930,101.27,8.30,8.30,,,호황고정(580억달러),1,호황,"127,902","9,822.87",7.80000,, 21.8092,20위,10위,11위,Czechoslovakia,약소국
유럽,폴란드, 35.1563,3,1.0547,18위,13위,3304.2,1064.0,개발도상국,30,22.5,7.9102,혼합경제,경공업 에너지산업,5.29000,낮은복지,2.3129,,,0,25,0.2637,,0.2637,3.3676,4.5425,4.5425,31.0916,88.44,6.19,6.19,,,호황고정(540억달러),1,호황,"312,685","16,541.04",5.40000,, 37.3320,18위,5위,13위,Poland,약소국
유럽,스웨덴, 40.2462,2,0.8049,15위,16위,812.2,4954.9,선진국,10,10,4.0246,혼합경제,중공업 첨단산업,9.68000,낮은복지,0.5686,,,0,25,0.2012,,0.2012,1.3735,2.6511,2.6511,17.5183,43.53,9.67,9.67,,,호황고정(531억달러),1,호황,"450,295","43,588.56",9.80000,, 44.1390,15위,12위,14위,Sweden,지역강국
유럽,루마니아, 3.8410,3,0.1152,31위,29위,2055.6,186.9,후진국,10,10,0.3841,혼합경제,중공업 첨단산업,7.68000,매우낮은복지,0.2056,,,0,25,0.0288,,0.0288,0.3208,0.0633,0.0633,-20.2296,-526.68,-3.22,-3.22,,,호황고정(340억달러),1,호황,"238,391","18,308.43",7.80000,WTO, 3.7171,34위,37위,40위,Romania,무권력국
유럽,핀란드, 2.7960,2,0.0559,34위,32위,464.0,602.6,후진국,10,10,0.2796,혼합경제,중공업 첨단산업,7.68000,낮은복지,0.3248,,,0,25,0.0140,,0.0140,0.3807,-0.1011,-0.1011,-3.9737,-142.12,4.11,4.11,,,호황고정(188억달러),1,호황,"338,145","25,969.54",7.80000,, 2.9109,35위,34위,38위,Finland,무권력국
유럽,소련,  813.318,10,81.3318,2위,2위,24638.1,3301.1,선진국,30,22.5,182.9964,시장경제,중공업 첨단산업 서비스업 에너지산업,11.15000,낮은복지,17.2467,,10,81.33175113,25,20.3329,,20.3329,179.9102,3.0863,3.0863,-96.9502,-11.92,13.04,14.24,,,호황고정(1조100억달러) 1962년 월드컵개최,1,호황,"22,402,200","2,497,845.30",11.45000,WTO,  929.174,2위,40위,30위,USSR,초강대국
유럽,그리스, 2.4671,2,0.0493,36위,34위,884.9,278.8,후진국,10,10,0.2467,혼합경제,중공업 첨단산업,4.96000,낮은복지,0.6195,,,0,25,0.0123,,0.0123,0.6688,-0.4221,-0.4221,-11.2590,-456.37,-1.13,-1.13,,,호황고정,1,호황,"131,957","6,545.07",5.08000,, 2.4393,36위,36위,39위,Greece,무권력국
유럽,스위스, 14.5852,0.01,0.0015,22위,37위,626.1,2329.5,중진국,10,10,1.4585,혼합경제,중공업 서비스업 첨단산업 에너지산업,10.47000,낮은복지,0.4383,,,0,25,0.0004,,0.0004,0.4397,1.0188,1.0188,19.4626,133.44,8.62,8.62,,,,9,빠른성장,"41,285","4,322.54",10.77000,, 15.8428,22위,11위,7위,Switzerland,약소국
유럽,유고슬라비아사회주의연방공화국, 13.6190,4,0.5448,23위,19위,2109.9,645.5,후진국,30,22.5,3.0643,계획경제,농수산업 에너지산업 서비스업,4.85000,복지없음,0.0000,,10,1.361902644,25,0.1362,,0.1362,1.9067,1.1576,1.7364,-7.1217,-52.29,7.82,9.32,,,호황고정(440억달러),1,호황,"247,542","12,005.79",5.03000,WTO, 14.8887,23위,35위,35위,"Serbia, Montenegro, Bosnia and Herzegovina, Croatia, Slovenia, North Macedonia, Kosovo",약소국
유럽,아일랜드, 8.4293,4.5,0.3793,29위,23위,303.7,2775.4,중진국,10,10,0.8429,시장경제,중공업 첨단산업 서비스업,7.00000,낮은복지,0.2126,,0,0,25,0.0948,,0.0948,0.5919,-0.4490,-0.4490,0.1914,2.27,15.14,16.34,,,,34,유지,"2,780,400","194,628.00",7.20000,, 9.8070,29위,25위,25위,Ireland,무권력국
아프리카,이집트, 6.8091,1,0.0681,30위,31위,3625.8,187.8,후진국,10,10,0.6809,계획경제,농수산업 에너지산업 서비스업,6.21000,복지없음,0.0000,0,0,0,25,0.0170,,0.0170,0.0681,-0.3872,-0.1162,1.3318,19.56,19.07,21.07,,,,91,불황,"1,001,450","62,190.04",6.39000,NATO, 8.2440,30위,23위,16위,Egypt,무권력국
아프리카,시에라리온, 0.4689,0.01,0.0000,37위,38위,281.4,166.6,후진국,10,10,0.0469,계획경제,경공업 에너지산업,4.30000,복지없음,0.0000,,60,0.2813201868,25,0.0000,,0.0000,0.2814,-36.2345,-10.8703,8.8015,1877.18,60.42,62.42,,,,27,빠른성장,"71,740","3,084.82",4.41000,, 0.7616,37위,17위,3위,Sierra Leone,무권력국
아프리카,니제르, 0.3053,0.01,0.0000,39위,39위,490.5,62.2,후진국,10,10,0.0305,혼합경제,경공업 에너지산업,3.30000,복지없음,0.0000,,,0,25,0.0000,,0.0000,0.0000,0.0305,0.0305,0.4101,134.33,6.60,6.60,,,,14,호황,"1,267,000","41,811.00",3.41000,, 0.3254,40위,24위,6위,Niger,무권력국
아프리카,모로코, 10.7289,2,0.2146,26위,26위,1592.5,673.7,후진국,15,15,1.6093,계획경제,농수산업 서비스업 에너지산업,3.97000,복지없음,0.0000,,,0,25,0.0536,,0.0536,0.2146,0.6448,0.9671,-2.1052,-19.62,14.33,15.83,,,,96,불황,"630,050","25,012.99",4.15000,NATO, 12.4275,26위,31위,32위,Morocco,지역강국
아시아,터키, 11.9092,3,0.3573,25위,24위,3843.0,309.9,후진국,20,17.5,2.0841,혼합경제,중공업 에너지산업,5.15000,매우낮은복지,0.3843,,,0,25,0.0893,,0.0893,0.7416,1.3425,1.3425,11.9971,100.74,6.91,6.91,,,호황고정(257억달러),1,호황,"783,562","40,353.44",5.30000,NATO, 12.7326,25위,15위,12위,Turkey,지역강국
아시아,이라크, 0.1947,0.01,0.0000,40위,40위,1043.0,18.7,후진국,10,10,0.0195,계획경제,농수산업 에너지산업,5.23000,복지없음,0.0000,,20,0.03894654334,25,0.0000,,0.0000,0.0390,-34.8195,-10.4458,9.1567,4702.21,100.07,102.07,,,,61,침체,"438,317","22,923.98",5.33000,, 0.3935,39위,16위,1위,Iraq,무권력국
아시아,인도, 38.7014,3,1.1610,16위,11위,57048.2,67.8,후진국,30,22.5,8.7078,계획경제,농수산업 서비스업 에너지산업,6.08000,복지없음,0.0000,,,0,25,0.2903,,0.2903,1.1610,7.5468,12.8295,0.0991,0.26,4.59,6.59,,,IMF(1667억달러),58,유지,"3,287,263","199,865.59",6.26000,WTO, 41.2503,17위,26위,26위,India,지역강국
아시아,중국, 97.3979,1,0.9740,7위,14위,86367.8,112.8,후진국,30,22.5,21.9145,계획경제,농수산업 서비스업 에너지산업,7.92000,복지없음,0.0000,,5,4.86989677,25,0.2435,,0.2435,5.8439,16.0707,27.3201,-51.2718,-52.64,-2.18,-10.00,,,내전,101,내전,"9,596,961","760,079.31",8.10000,WTO, 87.6581,9위,39위,36위,China,강대국
아시아,베트남, 2.5704,2,0.0514,35위,33위,4342.9,59.2,후진국,10,10,0.2570,혼합경제,경공업 에너지산업,5.29000,복지없음,0.0000,,,0,25,0.0129,,0.0129,0.0514,-4.5444,-4.5444,21.5223,837.32,45.21,45.21,,,총력전,22,빠른성장,"749,045","39,624.48",5.40000,WTO, 3.7325,33위,8위,4위,Vietnam,무권력국
아시아,조선민주주의인민공화국, 9.3532,2,0.1871,28위,27위,1597.5,585.5,후진국,10,10,0.9353,계획경제,경공업 에너지산업,5.29000,매우낮은복지,0.1598,,,0,25,0.0468,,0.0468,0.3468,0.5885,0.8828,-1.3458,-14.39,7.40,8.90,,,,11,호황,"123,443","6,530.13",5.40000,, 10.1861,28위,29위,31위,North Korea,무권력국
아시아,대한민국, 50.0401,1,0.5004,14위,20위,3393.6,1474.5,중진국,10,10,5.0040,시장경제,경공업 에너지산업 서비스업,7.05000,중간복지,10.1809,,0,0,25,0.1251,,0.1251,10.6813,-6.6093,-6.6093,-0.9472,-1.89,16.76,16.96,,,,1,호황,"100,472","7,083.28",7.24000,NATO, 58.5273,13위,27위,27위,South Korea,지역강국
아시아,일본, 68.1727,1,0.6817,10위,17위,10923.9,624.1,후진국,15,15,10.2259,계획경제,농수산업 서비스업 에너지산업,14.22000,매우낮은복지,1.0924,,,0,25,0.1704,,0.1704,1.7741,8.4518,12.6777,-39.1949,-57.49,7.98,9.48,,,호황고정(75년까지),1,호황,"377,975","53,748.05",14.40000,WTO, 74.6348,11위,38위,37위,Japan,지역강국
아시아,영국령 호주, 16.1525,2,0.3230,21위,25위,1330.5,1214.0,개발도상국,10,10,1.6152,혼합경제,중공업 첨단산업,9.68000,낮은복지,0.9313,,,0,25,0.0808,,0.0808,1.2544,0.3609,0.3609,4.8746,30.18,3.75,3.75,,,,47,성장,"7,692,024","744,587.92",9.80000,, 16.7577,21위,19위,15위,Australia,지역강국
아시아,이스라엘, 9.4896,4,0.3796,27위,22위,307.9,3081.6,중진국,10,10,0.9490,시장경제,중공업 에너지산업 서비스업 첨단산업,8.47000,중간복지,0.9238,,10,0.9489575094,25,0.0949,,0.0949,2.2524,-1.5581,-1.5581,1.8090,19.06,17.54,18.74,,,"호황고정(106억달러), 총력전",21,성장,"25,585","2,167.05",8.77000,, 11.2680,27위,22위,17위,Israel,무권력국
아시아,레바논, 0.4256,1,0.0043,38위,36위,251.0,169.6,후진국,20,17.5,0.0745,계획경제,에너지산업 서비스업 농수산업,3.72000,매우낮은복지,0.0251,,8,0.03404405847,25,0.0011,,0.0011,0.0634,-50.3889,-15.1167,15.3528,3607.75,72.93,74.93,,,,74,역성장,"10,452",388.81,3.90000,, 0.7444,38위,13위,2위,Lebanon,무권력국
아시아,이란, 50.4142,5,2.5207,13위,6위,3092.1,1630.4,중진국,15,15,7.5621,시장경제,첨단산업 중공업 서비스업 에너지산업,7.10000,중간복지,4.6382,,10,5.041418546,25,0.6302,0.0615,0.5687,12.2003,15.5618,15.5618,2.5409,5.04,13.16,13.36,,,호황고정(806억달러),1,호황,"1,648,195","117,021.85",7.40000,NATO, 57.1502,14위,21위,23위,Iran,지역강국
