 기본성장률,,,,,,
,,,,,,
수질오염개선,0.2,1.2,,,,
공기오염개선,1,5,,,,
지상오염개선,8,35,,,,
,,,,,,
복지수준,,,,,,
,,,,,,
복지수준,비용(1만명당 1만달러),경제성장률,선진국,2015년 조정예정,,
복지없음,0,0,-1,-30(-35),,
매우낮은복지,0.001,8,5,-16(-20),,
낮은복지,0.007,16,13,-7(-10),,
중간복지,0.03,45,25,0(-2),,
높은복지,0.085,85,45,8(5),,
매우높은복지,0.25,125,70,20(10),,
낮은복지국가,0.8,193,100,45(20),,
중간복지국가,3,367,185,78(45),,
높은복지국가,18,720,350,123(64),,
,,,,,,
국제대회 보너스(국제대회 유치 후 12년),,,,,,
,,,,,,
국제대회명,후진국,개발도상국,중진국,선진국,,
월드컵,10,25,45,10,,
모터스포츠,5,15,35,10,,
E스포츠(개최하는동안),5,10,15,8,,
보드게임대회,10,17,25,8,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
인구수 보너스,,,,,,
,,,,,,
인구수(만명),후진국,개발도상국,중진국,선진국,,
1000,15,15,13,10,,
3000,20,19,16,13,,
5000,25,24,20,16,,
10000,30,28,23,20,,
30000,32,30,24,21,,
80000,34,32,25,22,,
100000,35,33,26,23,,
200000,36,34,27,24,,
,,,,,,
인구(현실연도부터),,,,,,
,,,,,,
복지수준,후진국(%),개발도상국(%),중진국(%),선진국(%),,
매우낮은복지,0.5,0.5,-0.6,-1,,
낮은복지,0.65,0.55,-0.3,-0.6,,
중간복지,0.8,0.65,0.3,-0.3,,
높은복지,1,0.75,0.45,0.3,,
매우높은복지,1.2,0.85,0.55,0.45,,
낮은복지국가,1.5,1,0.65,0.6,,
중간복지국가,1.75,1.25,0.8,0.7,,
높은복지국가,2,1.5,1,0.8,,
,,,,,,
경제 제재,,,,,,
,,,,,,
최대경기상태,하는국가-당하는국가,자급자족가능국가(여부),당하는국가,하는국가,계산,
호황,~0,,,,#VALUE!,
빠른성장,0~10,,,,,
유지,10~30,,,,,
침체,30~90,,,,,
후퇴,90~100,,,,,
,,,,,,
자국경제투자,,,,,,
,,,,,,
투자금(GDP대비),후진국,개발도상국,중진국,선진국,,
0~5,0~20(4),0~15(3),0~10(2),0~5(1),,
5~10,20~30(2),15~25(2),10~15(1),5~10(1),,
10~30,30~50(1),25~45(1),15~25(0.5),10~18(0.4),,
30~60,50~65(0.5),45~60(0.5),25~34(0.3),18~24(0.2),,
60~200,65~121(0.4),60~88(0.2),34~62(0.2),24~38(0.1),,
200~500,121~181(0.2),88~118(0.1),62~86(0.08),38~50(0.04),,
500~1000,181~281(0.1),118~168(0.05),86~111(0.025),50~62(0.012),,
1000~,281~(0.02),168~(0.01),111(0.005),62~(0.001),,
,,,,,,
전쟁여부(전쟁 종료후 5년유지),,,,,,
,,,,,,
전쟁종류,경기수준(숫자)증가,전쟁종료시 경기수준(숫자)감소,,,,
국경분쟁,0,0,,,,
국지전,0,5,,,,
총력전,20,10,,,,
전쟁특수,-40,15,,,,
,,,,,,
,,,,,,
경기상태부분,,,,,,
,,,,,,
경제수준,후진국(2010년),개발도상국(2010년),중진국(2010년),선진국(2010년),경제성장률(+%p),비고
호황,1~19,1~19,1~5,1~10,3,
빠른성장,20~40,20~42,6~12,11~21,2,
성장,41~48,43~53,13~23,22~28,1,
유지,49~58,54~60,24~34,29~37,0,
침체,59~70,61~74,35~45,38~62,-2,
역성장,71~81,75~82,46~69,63~82,-4,
후퇴,82~90,83~90,70~82,83~90,-6,
불황,91~100,91~100,83~100,91~100,-8,
내전,101,101,101,101,-15,성장률 최대값이 -10으로 조정
,,,,,,
선진국 국고 디버프,,,,,,
,,,,,,
GDP대비국고,GDP성장률 감소율(%),,,,,
30~,10,,,,,
50~,25,,,,,
80~,65,,,,,
100~,95,,,,,
,,,,,,
,,,,,,
현재 등급별 1인당 GDP 기준,,,,,,
,,,,,,
등급,1인당 GDP,기준,갯수,,,
후진국,685.2596,이하,18개국,,,
개발도상국,685.2596,이상,3개국,,,
중진국,1370.5193,이상,11개국,,,
선진국,3083.668399,이상,8개국,,,
,,,,,,
,,,,,,
경제체제 보너스,,,,,,
,,,,,,
세계1인당 GDP대비,시장경제,세계 1인당 GDP 대비,계획경제,혼합경제,바뀌었을때 쿨타임,
60>,-0.3%p,30>,순이익*1.7 성장률 +2%p,경제성장률 유지,10년,
60,0%p,30,순이익*1.5 성장률 +1.5%p,,,
80,0.2%p,40,순이익*1.3 성장률 +1%p,,,
100,0.5%p,50,순이익*1.2 성장률 +0.5%p,,,
150,1.2%p,60,순이익*1.1 성장률 *1,,,
200<=,2%p,80<=,순이익*0.7 성장률 -0.5%p,,,
공통,경기상태가 -일시 2배,공통,디버프감소 30%,,,
,,,,,,
,,,,,,
강대국 등급 기준,,,,,,
,,,,,,
강대국등급,세계GDP대비GDP(%),현재기준,비고,,,
초강대국,10,479.6188,,,,
강대국,2,95.9238,,,,
지역강국,0.2,9.5924,"약소국 이상이면서 강대국이상의 숫자가 
현재 강대국 수보다 높으면 GDP가 높은 순서로 등록",,,
약소국,0.2,9.5924,,,,
무권력국,0,0.0000,,,,
,,,,,,
,,,,,,
,,,,,,
해외경제투자(%p),,,,,,
,,,,,,
투자금(피투자국GDP대비),후진국,개발도상국,중진국,선진국,,
0~5,0~1(0.2),0~1(0.2),0~0.5(0.1),0~0.3(0.06),,
5~10,1~2(0.2),1~2(0.2),0.5~1(0.1),0.3~0.7(0.08),,
10~30,2~4(0.1),2~4(0.1),1~3(0.1),0.7~1.5(0.04),,
30~60,4~10(0.2),4~10(0.2),3~6(0.1),1.5~2.1(0.02),,
60~200,10~17(0.05),10~17(0.05),6~7(0.01),2.1~3.1(0.01),,
200~500,17~21.5(0.015),17~19.4(0.008),7~9.4(0.008),3.1~4(0.003),,
500~1000,21.5~25.5(0.008),19.4~21.9(0.005),9.4~10.9(0.003),4~4.5(0.001),,
1000~,25.5~(0.005),21.9~(0.003),10.9(0.001),4.5~(0.0008),,
환수율(%),5,3,2,1,,
차익금,투자금*(환수율+투자에 따른 성장률(+%p)*6)/100,,,,,
