국가,카테고리,국기링크,1934년,1935년,1936년,1937년,1938년,1939년,1940년,1941년,1942년,1943년,1944년,1945년,1946년,1947년,1948년,1949년,1950년,1951년,1952년,1953년,1954년,1955년,1956년,1957년,1958년,1959년,1960년,1961년,1962년,1963년,1964년,1965년,1966년,1967년,1968년,1969년,1970년,1971년,1972년
네덜란드,네덜란드,https://public.flourish.studio/country-flags/svg/nl.svg,,0.0410,0.0437,0.0441,0.0466,0.0479,,0,0,0,0,3.2471,0.1395,0.1334,0.1316,0.1259,0.1241,0.1243,0.1194,0.1219,0.1172,0.1232,0.2639,0.2826,0.3027,0.3242,0.3472,0.3719,0.3983,0.4266,0.4569,0.4894,0.5242,0.5734,0.6272,0.6862,0.7506,0.8211,0.8982
독일령 네덜란드,네덜란드,https://public.flourish.studio/country-flags/svg/nl.svg,,,,,,0.0479,0.0492,0.0515,0.0544,2.2791,3.5245,3.2471,,,,,,,,,,,,,,,,,,,,,,,,,,,
독일,독일,https://public.flourish.studio/country-flags/svg/de.svg,,1.4756,1.5440,1.6927,1.8285,1.9933,2.0336,2.1966,2.3767,19.9816,28.8128,23.3410,,,,,,,,,,,,,,,,,,,,,,,,,,,
서독,독일,https://public.flourish.studio/country-flags/svg/de.svg,,,,,,,,,,,,23.3410,1.3627,1.4780,1.6327,1.7872,1.8490,2.0114,1.9870,2.0820,2.1816,2.2205,2.4331,2.6711,2.9324,3.2193,3.5343,3.8512,4.1965,4.8107,5.5148,6.3220,7.2473,8.3822,9.6948,11.2441,13.0410,15.1250,17.5421
동독,동독,https://upload.wikimedia.org/wikipedia/commons/a/a1/Flag_of_East_Germany.svg,,,,,,,,,,,,,0.2405,0.2608,0.2881,0.3154,0.3263,0.3550,0.3506,0.3674,0.3850,0.3919,0.4294,0.4714,0.5175,0.5681,0.6237,0.6728,0.7258,0.8078,0.8991,1.0006,1.1137,1.2454,1.3930,1.5577,1.7419,1.9478,2.1781
덴마크,덴마크,https://public.flourish.studio/country-flags/svg/dk.svg,,0.0789,0.0808,0.0851,0.0845,0.0873,0.0937,0.1000,0.1067,0.8072,1.2369,1.1767,0.0800,0.0810,0.0820,0.0806,0.0824,0.0843,0.0879,0.0882,0.0850,0.0818,0.1781,0.1939,0.2110,0.2297,0.2500,0.2554,0.2609,0.2665,0.2723,0.2922,0.3136,0.3375,0.3633,0.3910,0.4209,0.4530,0.4970
이탈리아,이탈리아,https://public.flourish.studio/country-flags/svg/it.svg,,0.3378,0.3486,0.3598,0.3678,0.3979,0.4067,0.4034,0.4214,0.4307,4.3405,3.9565,1.0219,1.0381,1.1375,1.1555,1.2431,1.2752,1.3336,1.3147,1.2960,1.3165,1.3759,1.4402,1.5100,1.5862,1.6696,1.7139,1.7618,0.7453,0.7919,0.8455,0.9072,0.9984,1.1203,1.2546,1.4026,1.5657,1.7455
체코슬로바키아,체코슬로바키아,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,,0.0892,0.0902,0.0904,0.0906,,,0,0,0,0,3.0219,0.1525,0.1539,0.1554,0.1506,0.1595,0.1706,0.1722,0.1669,0.1668,0.1617,0.1745,0.1884,0.2033,0.2194,0.2368,0.2556,0.2759,0.2978,0.3214,0.3469,0.3744,0.4055,0.4392,0.4756,0.5151,0.5578,0.6041
독일령 체코슬로바키아,체코슬로바키아,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,,,,,0.0906,0.0962,0.0974,0.1024,0.1049,2.1364,3.1439,3.0219,,,,,,,,,,,,,,,,,,,,,,,,,,,
폴란드,폴란드,https://public.flourish.studio/country-flags/svg/pl.svg,,0.1307,0.1336,0.1325,0.1353,,,0,0,0,0,3.1077,0.1723,0.1791,0.1898,0.1935,0.2070,0.2069,0.2150,0.2150,0.2127,0.2186,0.3740,0.4000,0.4279,0.4576,0.4895,0.5235,0.5599,0.5995,0.6418,0.6871,0.7356,0.7811,0.8295,0.8808,0.9353,0.9932,1.0547
독일령 폴란드,폴란드,https://public.flourish.studio/country-flags/svg/pl.svg,,,,,0.1353,0.1356,0.1344,0.1400,0.1405,2.6268,4.0206,3.1077,,,,,,,,,,,,,,,,,,,,,,,,,,,
스웨덴,스웨덴,https://public.flourish.studio/country-flags/svg/se.svg,,0.0623,0.0630,0.0637,0.0669,0.0689,0.0738,0.0716,0.0731,0.0731,0.0752,0.0775,0.0798,0.0774,0.0752,0.0813,0.0822,0.0798,0.0798,0.0807,0.0848,0.0824,0.1811,0.1990,0.2187,0.2404,0.2642,0.2903,0.3191,0.3507,0.3854,0.4236,0.4626,0.5073,0.5564,0.6102,0.6692,0.7339,0.8049
루마니아,루마니아,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg,,0.0610,0.0648,0.0669,0.0704,0.0684,0.0665,0.0673,0.0710,0.0687,0.3349,0.3263,0.0965,0.0970,0.1023,0.1070,0.1043,0.1080,0.1086,0.1135,0.1119,0.1169,0.1204,0.1237,0.1269,0.1299,0.1324,0.1345,0.1360,0.1362,0.1357,0.1344,0.1322,0.1298,0.1273,0.1246,0.1217,0.1186,0.1152
핀란드,핀란드,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,,0.0219,0.0212,0.0214,0.0215,0.0215,0.0217,0.0232,0.0235,0.0237,0.0237,0.0230,0.0242,0.0249,0.0262,0.0254,0.0257,0.0275,0.0278,0.0287,0.0290,0.0299,0.0310,0.0321,0.0332,0.0343,0.0354,0.0366,0.0377,0.0392,0.0408,0.0424,0.0441,0.0459,0.0477,0.0497,0.0517,0.0537,0.0559
소련,소련,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_Soviet_Union.svg,,1.7997,1.8389,1.8790,1.9199,2.0385,2.0829,2.1032,2.4521,19.1513,24.6441,23.7205,11.5189,11.3026,11.0903,10.6602,10.0336,5.2944,5.5343,5.7298,5.9322,6.1417,13.6657,14.0612,14.4680,14.8866,15.3174,10.8009,11.4134,25.6911,28.9053,32.7200,37.0414,42.1909,48.0753,54.7968,62.4582,71.1907,81.3318
그리스,그리스,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,,,,,,,0.0272,0.0282,0.0296,0.0277,0.0290,0.0273,0.0285,0.0294,0.0303,0.0304,0.0317,0.0327,0.0341,0.0349,0.0366,0.0384,0.0396,0.0408,0.0419,0.0431,0.0442,0.0453,0.0463,0.0472,0.0481,0.0488,0.0494,0.0498,0.0501,0.0502,0.0501,0.0498,0.0493
스위스,스위스,https://upload.wikimedia.org/wikipedia/commons/9/92/Civil_Ensign_of_Switzerland_%28Pantone%29.svg,,,,,,,,,0.00,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,0.0014,0.0014,0.0015
유고슬라비아왕국,유고슬라비아,https://upload.wikimedia.org/wikipedia/commons/e/e5/Flag_of_Yugoslavia_%281918%E2%80%931941%29.svg,,,,,,,,,,,,0.0611,0.0646,0.0670,0.0696,0.0729,,,,,,,,,,,,,,,,,,,,,,,
유고슬라비아사회주의연방공화국,유고슬라비아,https://upload.wikimedia.org/wikipedia/commons/6/61/Flag_of_Yugoslavia_%281946-1992%29.svg,,,,,,,,,,,,,,,,0.0729,0.0735,0.0362,0.0382,0.0382,0.0396,0.0418,0.0446,0.0478,0.0511,0.0547,0.0586,0.0626,0.0669,0.0727,0.0788,0.0846,0.0900,0.1911,0.2035,0.2171,0.4644,0.4985,0.5448
아일랜드,아일랜드,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2032,0.2084,0.2215,0.2354,0.2590,0.2848,0.3187,0.3502,0.3744,0.3793
이집트,이집트,https://public.flourish.studio/country-flags/svg/eg.svg,,0.1047,0.1143,0.1213,0.1421,0.1422,0.1595,0.1660,0.1759,0.1828,0.1827,0.1788,0.1804,0.1855,0.1872,0.1981,0.2078,0.2205,0.2098,0.1996,0.1899,0.1863,0.1800,0.1623,0.1508,0.1174,0.0913,0.0205,0.0211,0.0206,0.0215,0.0222,0.0229,0.0240,0.0238,0.0319,0.0422,0.0544,0.0681
영국령 시에리리온,시에리리온,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Sierra_Leone_%281916%E2%80%931961%29.svg,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시에라리온,시에라리온,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,,,,,,,,,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
프랑스령 니제르,니제르,https://public.flourish.studio/country-flags/svg/fr.svg,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
니제르,니제르,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg,,,,,,,,,0.00,0.00,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
모로코,모로코,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,,,,,,,,,,,,0.0658,0.0687,0.0683,0.0685,0.0702,0.0733,0.0772,0.0775,0.0809,0.0812,0.0783,0.0756,0.0761,0.0704,0.0705,0.0719,0.0747,0.0694,0.0713,0.0689,0.0662,0.0680,0.0709,0.0912,0.1138,0.1422,0.1738,0.2146
터키,터키,https://public.flourish.studio/country-flags/svg/tr.svg,,0.0749,0.0800,0.0894,0.0999,0.1106,0.1203,0.0600,0.0528,0.0538,0.0547,0.0533,0.0562,0.0593,0.0619,0.0610,0.0598,0.0318,0.0337,0.0362,0.0384,0.0393,0.0416,0.0443,0.0472,0.0504,0.0539,0.0576,0.0615,0.0655,0.0699,0.0746,0.0796,0.0852,0.0912,0.2924,0.3126,0.3342,0.3573
이라크,이라크,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,,0.0060,0.0069,0.0075,0.0085,0.0092,0.0103,0.0106,0.0105,0.0111,0.0112,0.0119,0.0119,0.0128,0.0127,0.0126,0.0135,0.0145,0.0146,0.0145,0.0149,0.0160,0.0132,0.0113,0.0083,0.0051,0.0009,0.0009,0.0010,0.0010,0.0011,0.0011,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
인도,인도,https://public.flourish.studio/country-flags/svg/in.svg,,0.5729,0.6425,0.7399,0.8816,1.0505,1.2412,1.3061,0.8832,0.8703,2.2940,2.0849,2.2144,2.3297,2.4977,2.7027,2.7379,2.8978,2.7774,2.9396,2.9938,3.1089,3.0272,2.9780,2.8235,2.6905,2.4089,2.0367,1.5952,0.9232,0.8951,0.8813,0.8500,0.8218,0.8410,0.9197,1.0056,1.0996,1.1610
중국,중국,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,,1.8562,2.2317,2.5061,2.8143,2.1434,2.5129,2.6312,2.8847,2.8069,2.9278,2.8726,2.7323,2.7152,2.6982,2.8432,2.9675,0.7913,0.8321,0.9250,0.9912,1.0820,1.1747,1.2693,1.3165,1.3157,1.3549,1.4284,1.4882,1.4801,1.5815,1.6931,1.8327,1.6494,1.4845,1.3360,1.2024,1.0822,0.9740
프랑스령인도차이나,프랑스령인도차이나,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_Colonial_Annam.svg,,0.0451,0.0526,0.0613,0.0714,0.0839,0.0944,0.0946,0.1023,0.0961,0.0961,0.1009,,,,,,,,,,,,,,,,,,,,,,,,,,,
베트남,베트남,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,,,,,,,,,,,,,0.0866,0.0917,0.0972,0.1000,0.1030,0.1083,0.1097,0.1143,0.1088,0.1145,0.1186,0.1214,0.1240,0.1261,0.1189,0.1107,0.0997,0.0883,0.0775,0.0648,0.0414,0.0444,0.0476,0.0496,0.0493,0.0523,0.0514
조선총독부,조선총독부,https://upload.wikimedia.org/wikipedia/commons/4/40/Seal_of_the_Government-General_of_Korea.svg,,0.0560,0.0653,0.0735,0.0826,0.0913,0.1028,0.1091,0.1203,0.1203,0.1263,0.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,
조선민주주의인민공화국,조선민주주의인민공화국,https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg,,,,,,,,,,,,0.0471,0.0494,0.0484,0.0479,0.0455,0.0432,0.0565,0.0600,0.0632,0.0671,0.0713,0.0741,0.0770,0.0807,0.0845,0.0868,0.0884,0.0924,0.1002,0.1089,0.1185,0.1298,0.1375,0.1460,0.1565,0.1593,0.1718,0.1871
대한민국,대한민국,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,,,,,,,,,,,,0.0804,0.0844,0.0894,0.0947,0.0975,0.1033,0.0928,0.0987,0.1060,0.1149,0.1245,0.1338,0.1450,0.1572,0.1689,0.1827,0.2000,0.2151,0.2409,0.2577,0.2896,0.3298,0.1944,0.2414,0.2962,0.3548,0.4272,0.5004
일본,일본,https://public.flourish.studio/country-flags/svg/jp.svg,,0.8963,0.8831,0.9408,0.9269,0.9967,1.0219,1.1176,1.2643,1.3195,1.4035,1.4460,1.5910,1.7665,1.9967,2.2569,2.5509,2.6282,2.6816,2.6556,2.7095,2.7645,2.7850,2.8004,2.6414,2.6901,2.5189,2.5960,2.6192,0.5234,0.5435,0.5101,0.5340,0.5015,0.4896,0.5279,0.5722,0.6232,0.6817
영국령 호주,영국령 호주,https://public.flourish.studio/country-flags/svg/au.svg,,0.0910,0.0911,0.0884,0.0928,0.0901,0.0928,0.0985,0.0986,0.0996,0.0996,0.1075,0.1128,0.1183,0.1265,0.1289,0.1326,0.1431,0.1501,0.1485,0.1602,0.1649,0.1812,0.1901,0.1994,0.1973,0.1928,0.1943,0.2055,0.2132,0.2169,0.2294,0.2334,0.2549,0.2706,0.2765,0.2992,0.3207,0.3230
팔레스타인,팔레스타인,https://upload.wikimedia.org/wikipedia/commons/7/77/Ensign_of_the_Palestine_Mandate_%281927%E2%80%931948%29.svg,,,,,,,,,0.00,0.00,,0.0000,0.0080,0.0079,0.0084,0.0083,,,,,,,,,,,,,,,,,,,,,,,
이스라엘,이스라엘,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,,,,,,,,,,,,,,,,,0.0064,0.0046,0.0049,0.0053,0.0057,0.0061,0.0293,0.0310,0.0325,0.0340,0.0356,0.0393,0.0435,0.0242,0.0270,0.0301,0.0335,0.0376,0.0452,0.0542,0.3218,0.3133,0.3796
레바논,레바논,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,,,,,,,,,,,0.059,0.0608,0.0621,0.0615,0.0621,0.0615,0.0640,0.0615,0.0634,0.0653,0.0637,0.0666,0.0623,0.0639,0.0609,0.0610,0.0554,0.0502,0.0482,0.0020,0.0020,0.0021,0.0022,0.0022,0.0023,0.0025,0.0027,0.0017,0.0043
이란,이란,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,,,,,,,,,,,,,,,,,,0.1088,0.1162,0.1230,0.1303,0.1431,0.1465,0.1525,0.1561,0.1610,0.1647,0.1702,0.1826,0.0400,0.0429,0.0435,0.0454,0.7796,0.9552,1.1704,3.7318,4.1114,4.5373
