국가,카테고리,국기링크,1934년,1935년,1936년,1937년,1938년,1939년,1940년,1941년,1942년,1943년,1944년,1945년,1946년,1947년,1948년,1949년,1950년,1951년,1952년,1953년,1954년,1955년,1956년,1957년,1958년,1959년,1960년,1961년,1962년,1963년,1964년,1965년,1966년,1967년,1968년,1969년,1970년,1971년,1972년
체코슬로바키아,체코슬로바키아,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,297,311,314,313,310,,,,,,,356,393,422,420,407,429,454,453,434,429,412,440,470,503,539,578,618,664,712,763,817,878,947,1022,1110,1199,1293.1,1392.7
독일령 체코슬로바키아,체코슬로바키아,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,,,,,310,328,331,349,360,367,359,356,,,,,,,,,,,,,,,,,,,,,,,,,,,
폴란드,폴란드,https://public.flourish.studio/country-flags/svg/pl.svg,197,230,234,230,234,,,,,,,259,219,233,251,259,278,273,279,274,267,269,453,475,498,524,552,582,615,651,690,732,777,818,862,908,958,1010.3,1064.0
독일령 폴란드,폴란드,https://public.flourish.studio/country-flags/svg/pl.svg,,,,,234,234,233,245,249,237,247,259,,,,,,,,,,,,,,,,,,,,,,,,,,,
스웨덴,스웨덴,https://public.flourish.studio/country-flags/svg/se.svg,476,498,502,505,529,542,577,556,563,557,567,579,590,567,545,584,585,564,560,563,588,567,1237,1351,1475,1612,1765,1930,2110,2306,2515,2739,2963,3224,3516,3829,4160,4531.5,4954.9
루마니아,루마니아,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg,206,204,214,218,227,218,210,212,222,215,209,203,199,200,210,219,212,217,215,222,216,223,227,230,234,238,241,243,245,244,242,239,235,228,219,211,203,194.8,186.9
핀란드,핀란드,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,307,307,295,296,296,293,293,311,314,314,310,299,312,319,332,320,321,340,340,346,346,353,362,371,381,390,400,410,420,434,449,465,482,498,516,537,561,582.7,602.6
소련,소련,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_Soviet_Union.svg,190,228,231,234,237,249,252,253,292,282,240,229,220,214,208,198,184,192,197,201,205,209,457,462,467,472,478,497,517,1147,1273,1424,1594,1795,2025,2285,2582,2916.8,3301.1
그리스,그리스,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,,,,,,,186,191,200,186,194,182,189,195,200,200,207,212,219,222,231,241,246,251,255,260,264,268,273,278,283,286,288,288,287,287,287,283.6,278.8
스위스,스위스,https://upload.wikimedia.org/wikipedia/commons/9/92/Civil_Ensign_of_Switzerland_%28Pantone%29.svg,,,,,,,,,,1157,1203,1297,1411,1437,1464,1591,1650,1744,1703,1713,1774,1786,1850,1972,2120,2155,2234,2326,2385,2478,2464,2390,2392,2280,2217,2159,2199,2332.8,2329.5
유고슬라비아왕국,유고슬라비아,https://upload.wikimedia.org/wikipedia/commons/e/e5/Flag_of_Yugoslavia_%281918%E2%80%931941%29.svg,,,,,,,,,,,,207,216,222,227,235,,,,,,,,,,,,,,,,,,,,,,,
유고슬라비아사회주의연방공화국,유고슬라비아,https://upload.wikimedia.org/wikipedia/commons/6/61/Flag_of_Yugoslavia_%281946-1992%29.svg,,,,,,,,,,,,,,,,235,223,217,227,224,228,238,251,265,280,296,313,331,350,376,403,428,450,473,499,528,560,595.9,645.5
아일랜드,아일랜드,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588,1621,1713,1811,1981,2166,2408,2628,2779.4,2775.4
이집트,이집트,https://public.flourish.studio/country-flags/svg/eg.svg,132,153,165,172,199,196,216,220,228,230,224,214,210,211,207,214,218,227,211,196,182,174,164,144,131,99,75,74,74,71,72,72,73,75,72,94,122,153.5,187.8
영국령 시에리리온,시에리리온,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Sierra_Leone_%281916%E2%80%931961%29.svg,,,,,,,,,127,127,131,133,132,130,,,,,,,,,,,,,,,,,,,,,,,,,
시에라리온,시에라리온,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,,,,,,,,,,,,,,,128,131,134,132,134,138,136,130,130,123,128,128,135,140,131,128,124,119,112,108,101,95,98,88.5,166.6
프랑스령 니제르,니제르,https://public.flourish.studio/country-flags/svg/fr.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
니제르,니제르,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg,,,,,,,,,72,69,65,65,62,64,65,67,65,67,68,66,65,68,65,67,67,65,67,64,63,63,61,59,60,61,62,57,59,61.7,62.2
모로코,모로코,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,,,,,,,,,,,,399,410,402,397,400,410,421,413,420,411,385,362,355,320,311,309,313,283,283,267,250,250,254,318,386,470,559.8,673.7
터키,터키,https://public.flourish.studio/country-flags/svg/tr.svg,109,117,122,134,147,160,171,168,145,145,146,139,145,150,154,149,142,147,151,158,163,161,166,171,177,183,190,198,206,213,222,231,240,250,261,272,284,296.9,309.9
이라크,이라크,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,66,75,86,94,106,113,124,125,121,124,121,124,120,124,119,115,120,126,124,120,120,126,102,85,62,37,7,6,7,7,7,7,7,7,7,8,8,3.9,18.7
인도,인도,https://public.flourish.studio/country-flags/svg/in.svg,68,81,90,102,120,141,166,175,118,118,125,114,122,130,140,152,158,164,153,159,158,160,153,147,136,126,111,91,70,66,62,60,57,54,54,57,61,65.7,67.8
중국,중국,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,56,62,74,83,93,105,123,128,140,135,140,137,129,128,126,132,136,143,147,160,168,179,191,201,204,202,207,218,224,216,224,234,247,217,190,167,146,128.2,112.8
프랑스령인도차이나,프랑스령인도차이나,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_Colonial_Annam.svg,97,103,119,137,159,185,204,200,210,192,186,189,,,,,,,,,,,,,,,,,,,,,,,,,,,
베트남,베트남,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,,,,,,,,,,,,,193,198,204,204,205,212,210,214,198,203,205,204,202,200,183,166,145,125,107,87,54,57,60,61,59,61.6,59.2
조선총독부,조선총독부,https://upload.wikimedia.org/wikipedia/commons/4/40/Seal_of_the_Government-General_of_Korea.svg,105,122,140,155,172,188,207,216,233,227,233,229,,,,,,,,,,,,,,,,,,,,,,,,,,,
조선민주주의인민공화국,조선민주주의인민공화국,https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg,,,,,,,,,,,,229,237,228,222,208,194,267,293,310,328,343,350,355,361,369,370,369,377,399,422,448,478,493,508,530,525,551.5,585.5
대한민국,대한민국,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,,,,,,,,,,,,229,234,241,248,248,261,234,244,255,268,281,292,306,321,334,350,372,391,428,448,495,553,637,774,930,1090,1285.1,1474.5
일본,일본,https://public.flourish.studio/country-flags/svg/jp.svg,257,260,253,266,259,274,278,300,334,344,361,367,398,436,486,542,590,598,602,588,593,598,597,595,557,563,523,534,534,529,544,506,524,487,470,501,536,577.3,624.1
영국령 호주,영국령 호주,https://public.flourish.studio/country-flags/svg/au.svg,683,685,679,654,681,654,666,697,688,684,674,715,738,762,802,803,811,850,870,842,890,896,961,986,1013,980,938,925,959,977,975,1010,1007,1079,1125,1127,1187,1233.5,1214.0
팔레스타인,팔레스타인,https://upload.wikimedia.org/wikipedia/commons/7/77/Ensign_of_the_Palestine_Mandate_%281927%E2%80%931948%29.svg,,,,,,,,,,156,156,142,135,129,133,127,,,,,,,,,,,,,,,,,,,,,,,
이스라엘,이스라엘,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,,,,,,,,,,,,,,,,,183,169,174,179,185,192,881,901,912,925,941,1005,1065,1134,1209,1289,1376,1480,1709,1967,2247,2630.6,3081.6
레바논,레바논,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,,,,,,,,,,,189,191,192,186,185,179,183,171,171,171,162,165,150,149,138,135,119,104,97,101,100,101,104,101,102,108,113,68.5,169.6
이란,이란,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,,,,,,,,,,,,,,,,,,643,670,692,715,765,763,773,770,772,767,769,800,877,941,954,995,944,1123,1335,1423,1521.3,1630.4
