국가,카테고리,국기링크,1934년,1935년,1936년,1937년,1938년,1939년,1940년,1941년,1942년,1943년,1944년,1945년,1946년,1947년,1948년,1949년,1950년,1951년,1952년,1953년,1954년,1955년,1956년,1957년,1958년,1959년,1960년,1961년,1962년,1963년,1964년,1965년,1966년,1967년,1968년,1969년,1970년,1971년,1972년
루마니아,루마니아,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg, 3.0464, 3.0523, 3.2414, 3.3450, 3.5188, 3.4201, 3.3242, 3.3639, 3.5503, 3.4343, 3.3485, 3.2634, 3.2155, 3.2326, 3.4114, 3.5660, 3.4779, 3.6007, 3.6199, 3.7839, 3.7283, 3.8973, 4.0119, 4.1230, 4.2303, 4.3296, 4.4137, 4.4831, 4.5348, 4.5415, 4.5239, 4.4795, 4.4053, 4.3267, 4.2430, 4.1535, 4.0573, 3.9534, 3.8410
핀란드,핀란드,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg, 1.0861, 1.0949, 1.0600, 1.0686, 1.0772, 1.0752, 1.0839, 1.1577, 1.1766, 1.1861, 1.1839, 1.1496, 1.2081, 1.2455, 1.3090, 1.2709, 1.2848, 1.3760, 1.3910, 1.4340, 1.4497, 1.4964, 1.5502, 1.6045, 1.6595, 1.7151, 1.7714, 1.8285, 1.8864, 1.9624, 2.0408, 2.1220, 2.2061, 2.2948, 2.3871, 2.4832, 2.5834, 2.6873, 2.7960
소련,소련,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_Soviet_Union.svg, 29.7483, 35.9946, 36.7785, 37.5795, 38.3979, 40.7701, 41.6580, 42.0643, 49.0413, 47.8783, 41.0735, 39.5341, 38.3963, 37.6752, 36.9677, 35.5341, 33.4454, 35.2957, 36.8953, 38.1986, 39.5478, 40.9448, 91.1050, 93.7411, 96.4534, 99.2442,  102.116,  108.009,  114.134,  256.911,  289.053,  327.200,  370.414,  421.909,  480.753,  547.968,  624.582,  711.907,  813.318
그리스,그리스,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,,,,,,, 1.3598, 1.4084, 1.4819, 1.3867, 1.4501, 1.3662, 1.4240, 1.4699, 1.5172, 1.5206, 1.5849, 1.6360, 1.7051, 1.7430, 1.8301, 1.9217, 1.9808, 2.0394, 2.0974, 2.1549, 2.2116, 2.2658, 2.3158, 2.3619, 2.4033, 2.4396, 2.4705, 2.4917, 2.5053, 2.5105, 2.5065, 2.4924, 2.4671
스위스,스위스,https://upload.wikimedia.org/wikipedia/commons/9/92/Civil_Ensign_of_Switzerland_%28Pantone%29.svg,,,,,,,,,,5.0366, 5.2919, 5.7646, 6.3370, 6.5227, 6.7138, 7.3805, 7.7443, 8.2810, 8.1924, 8.3505, 8.7622, 8.9313, 9.3716, 10.1148, 11.0180, 11.3409, 11.9000, 12.6375, 13.2943, 14.1086, 14.2672, 13.9997, 14.1572, 13.6589, 13.4513, 13.2469, 13.5945, 14.4949, 14.5852
유고슬라비아왕국,유고슬라비아,https://upload.wikimedia.org/wikipedia/commons/e/e5/Flag_of_Yugoslavia_%281918%E2%80%931941%29.svg,,,,,,,,,,,, 3.0528, 3.2294, 3.3516, 3.4785, 3.6449,,,,,,,,,,,,,,,,,,,,,,,
유고슬라비아사회주의연방공화국,유고슬라비아,https://upload.wikimedia.org/wikipedia/commons/6/61/Flag_of_Yugoslavia_%281946-1992%29.svg,,,,,,,,,,,,,,,, 3.6449, 3.6735, 3.6205, 3.8216, 3.8237, 3.9597, 4.1797, 4.4620, 4.7756, 5.1113, 5.4706, 5.8552, 6.2586, 6.6899, 7.2684, 7.8787, 8.4577, 8.9952, 9.5531, 10.1760, 10.8533, 11.6090, 12.4633, 13.6190
아일랜드,아일랜드,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.5157, 4.6319, 4.9225, 5.2314, 5.7545, 6.3300, 7.0825, 7.7830, 8.3191, 8.4293
이집트,이집트,https://public.flourish.studio/country-flags/svg/eg.svg, 1.9868, 2.3274, 2.5402, 2.6962, 3.1585, 3.1604, 3.5442, 3.6880, 3.9084, 4.0626, 4.0604, 3.9735, 4.0081, 4.1232, 4.1591, 4.4032, 4.6177, 4.9008, 4.6622, 4.4352, 4.2193, 4.1404, 3.9990, 3.6060, 3.3519, 2.6085, 2.0278, 2.0545, 2.1059, 2.0554, 2.1520, 2.2167, 2.2909, 2.4030, 2.3840, 3.1858, 4.2165, 5.4394, 6.8091
영국령 시에리리온,시에리리온,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Sierra_Leone_%281916%E2%80%931961%29.svg,,,,,,,,,0.2212, 0.2252, 0.2362,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시에라리온,시에라리온,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,,,,,,,,,,,, 0.2445, 0.2460, 0.2475, 0.2477, 0.2577, 0.2682, 0.2671, 0.2740, 0.2866, 0.2855, 0.2757, 0.2799, 0.2674, 0.2822, 0.2866, 0.3053, 0.3222, 0.3078, 0.3054, 0.3000, 0.2947, 0.2807, 0.2768, 0.2646, 0.2529, 0.2646, 0.2445, 0.4689
프랑스령 니제르,니제르,https://public.flourish.studio/country-flags/svg/fr.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
니제르,니제르,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg,,,,,,,,,0.1605, 0.1571, 0.1491, 0.1529, 0.1468, 0.1543, 0.1605, 0.1687, 0.1688, 0.1799, 0.1881, 0.1874, 0.1922, 0.2068, 0.2038, 0.2151, 0.2227, 0.2216, 0.2339, 0.2304, 0.2340, 0.2415, 0.2397, 0.2379, 0.2503, 0.2618, 0.2713, 0.2593, 0.2764, 0.2947, 0.3053
모로코,모로코,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,,,,,,,,,,,, 3.2893, 3.4339, 3.4131, 3.4266, 3.5087, 3.6629, 3.8605, 3.8758, 4.0461, 4.0621, 3.9157, 3.7800, 3.8045, 3.5190, 3.5245, 3.5933, 3.7355, 3.4691, 3.5651, 3.4433, 3.3106, 3.3982, 3.5463, 4.5592, 5.6909, 7.1078, 8.6917, 10.7289
터키,터키,https://public.flourish.studio/country-flags/svg/tr.svg, 1.7219, 1.8727, 1.9993, 2.2345, 2.4973, 2.7661, 3.0084, 3.0021, 2.6408, 2.6881, 2.7362, 2.6661, 2.8113, 2.9644, 3.0962, 3.0481, 2.9923, 3.1777, 3.3745, 3.6172, 3.8412, 3.9255, 4.1645, 4.4310, 4.7224, 5.0397, 5.3853, 5.7553, 6.1507, 6.5535, 6.9928, 7.4615, 7.9616, 8.5188, 9.1150, 9.7452, 10.4189, 11.1392, 11.9092
이라크,이라크,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg, 0.2649, 0.2999, 0.3454, 0.3772, 0.4269, 0.4619, 0.5136, 0.5281, 0.5261, 0.5568, 0.5615, 0.5975, 0.5973, 0.6390, 0.6325, 0.6324, 0.6765, 0.7273, 0.7309, 0.7272, 0.7454, 0.8013, 0.6619, 0.5661, 0.4165, 0.2542, 0.0457, 0.0464, 0.0494, 0.0514, 0.0536, 0.0553, 0.0576, 0.0626, 0.0675, 0.0745, 0.0792, 0.0396, 0.1947
인도,인도,https://public.flourish.studio/country-flags/svg/in.svg, 23.8411, 28.6458, 32.1271, 36.9954, 44.0812, 52.5241, 62.0589, 65.3055, 44.1598, 43.5155, 45.8796, 41.6985, 44.2875, 46.5942, 49.9531, 54.0536, 54.7575, 57.9568, 55.5474, 58.7929, 59.8763, 62.1772, 60.5448, 59.5595, 56.4700, 53.8109, 48.1772, 40.7346, 31.9035, 30.7729, 29.8362, 29.3756, 28.3346, 27.3920, 28.0349, 30.6553, 33.5206, 36.6538, 38.7014
중국,중국,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg, 27.8146, 30.9370, 37.1943, 41.7685, 46.9051, 53.5843, 62.8222, 65.7790, 72.1167, 70.1736, 73.1950, 71.8159, 68.3083, 67.8801, 67.4545, 71.0788, 74.1871, 79.1278, 83.2106, 92.4968, 99.1194,  108.199,  117.466,  126.935,  131.649,  131.574,  135.493,  142.839,  148.819,  148.007,  158.151,  169.308,  183.271,  164.944,  148.450,  133.605,  120.244,  108.220, 97.3979
프랑스령인도차이나,프랑스령인도차이나,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_Colonial_Annam.svg, 2.1192, 2.2573, 2.6300, 3.0643, 3.5704, 4.1957, 4.7208, 4.7286, 5.1140, 4.8070, 4.8068, 5.0447,,,,,,,,,,,,,,,,,,,,,,,,,,,
베트남,베트남,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,,,,,,,,,,,,, 4.3285, 4.5859, 4.8586, 5.0017, 5.1490, 5.4174, 5.4832, 5.7142, 5.4407, 5.7243, 5.9305, 6.0708, 6.1983, 6.3051, 5.9436, 5.5332, 4.9839, 4.4170, 3.8764, 3.2386, 2.0713, 2.2210, 2.3816, 2.4823, 2.4632, 2.6167, 2.5704
조선총독부,조선총독부,https://upload.wikimedia.org/wikipedia/commons/4/40/Seal_of_the_Government-General_of_Korea.svg, 2.3841, 2.8017, 3.2643, 3.6728, 4.1325, 4.5670, 5.1385, 5.4553, 6.0140, 6.0137, 6.3142, 6.3737,,,,,,,,,,,,,,,,,,,,,,,,,,,
조선민주주의인민공화국,조선민주주의인민공화국,https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg,,,,,,,,,,,,, 3.1020, 3.0382, 3.0062, 2.8542, 2.7100, 2.8247, 3.0008, 3.1578, 3.3546, 3.5637, 3.7056, 3.8512, 4.0345, 4.2256, 4.3403, 4.4211, 4.6181, 5.0099, 5.4440, 5.9250, 6.4882, 6.8774, 7.2992, 7.8249, 7.9632, 8.5884, 9.3532
대한민국,대한민국,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,,,,,,,,,,,,, 3.4980, 3.7061, 3.9264, 4.0421, 4.2822, 4.6410, 4.9371, 5.3015, 5.7457, 6.2272, 6.6888, 7.2516, 7.8617, 8.4445, 9.1331, 10.0021, 10.7537, 12.0430, 12.8848, 14.4811, 16.4925, 19.4379, 24.1443, 29.6183, 35.4828, 42.7179, 50.0401
일본,일본,https://public.flourish.studio/country-flags/svg/jp.svg, 17.4834, 17.9256, 17.6619, 18.8150, 18.5383, 19.9340, 20.4381, 22.3517, 25.2867, 26.3900, 28.0692, 28.9195, 31.8202, 35.3301, 39.9336, 45.1371, 51.0185, 52.5645, 53.6316, 53.1115, 54.1898, 55.2899, 55.7003, 56.0086, 52.8272, 53.8020, 50.3785, 51.9204, 52.3845, 52.3409, 54.3511, 51.0136, 53.3983, 50.1502, 48.9565, 52.7931, 57.2193, 62.3155, 68.1727
영국령 호주,호주,https://public.flourish.studio/country-flags/svg/au.svg, 4.5033, 4.5506, 4.5529, 4.4186, 4.6417, 4.5048, 4.6422, 4.9231, 4.9280, 4.9798, 4.9823, 5.3758, 5.6395, 5.9161, 6.3245, 6.4450, 6.6322, 7.1564, 7.5074, 7.4252, 8.0121, 8.2449, 9.0615, 9.5059, 9.9721, 9.8629, 9.6415, 9.7144, 10.2735, 10.6594, 10.8465, 11.4708, 11.6722, 12.7440, 13.5318, 13.8271, 14.9584, 16.0327, 16.1525
팔레스타인,팔레스타인,https://upload.wikimedia.org/wikipedia/commons/7/77/Ensign_of_the_Palestine_Mandate_%281927%E2%80%931948%29.svg,,,,,,,,,,0.2770, 0.2870, 0.2709, 0.2668, 0.2628, 0.2786, 0.2758,,,,,,,,,,,,,,,,,,,,,,,
이스라엘,이스라엘,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,,,,,,,,,,,,,,,,, 0.2124, 0.2286, 0.2460, 0.2648, 0.2849, 0.3067, 1.4625, 1.5500, 1.6230, 1.6995, 1.7796, 1.9670, 2.1741, 2.4221, 2.6984, 3.0062, 3.3491, 3.7584, 4.5207, 5.4172, 6.4362, 7.8322, 9.4896
레바논,레바논,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,,,,,,,,,,,0.2270, 0.2339, 0.2387, 0.2365, 0.2390, 0.2367, 0.2463, 0.2366, 0.2438, 0.2513, 0.2451, 0.2563, 0.2398, 0.2457, 0.2343, 0.2345, 0.2132, 0.1930, 0.1853, 0.1984, 0.2025, 0.2108, 0.2236, 0.2222, 0.2320, 0.2520, 0.2699, 0.1676, 0.4256
이란,이란,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,,,,,,,,,,,,,,,,,, 10.8752, 11.6223, 12.3044, 13.0265, 14.3121, 14.6493, 15.2508, 15.6102, 16.0951, 16.4743, 17.0162, 18.2566, 20.0034, 21.4660, 21.7475, 22.6852, 25.1470, 30.8121, 37.7535, 41.4650, 45.6828, 50.4142
